is_hit,is_visualization,is_dash,start_distance,start_delay,pre_delay,mid_delay,post_delay,attack_size,attack_pattern,attack_count
0,1,0,724,0.605,0.206,0.432,0.171,209,5,4
1,0,1,834,0.201,0.167,0.22,0.319,189,1,5
1,0,0,745,0.539,0.234,0.835,0.415,190,2,6
0,1,0,826,0.333,0.368,0.792,0.188,187,4,7
1,0,1,1132,0.768,0.632,0.494,0.35,215,3,8
0,1,0,1321,0.825,0.346,0.662,0.168,253,2,1
0,1,1,659,0.218,0.474,0.844,0.189,226,3,2
1,0,1,850,0.92,0.223,0.206,0.166,181,1,3
1,1,0,1019,0.644,0.32,0.268,0.263,187,5,4
0,1,1,1270,0.353,0.693,0.328,0.291,185,4,5
0,1,0,1215,0.844,0.18,0.66,0.194,218,2,6
1,1,0,1054,0.804,0.61,0.885,0.639,234,3,7
1,0,0,1201,0.549,0.236,0.193,0.354,206,1,8
1,1,0,853,0.64,0.121,0.487,0.164,202,5,9
1,1,1,1335,0.303,0.576,0.644,0.472,219,4,10
0,0,1,823,0.544,0.181,0.165,0.398,208,5,3
1,0,1,660,0.777,0.497,0.752,0.199,195,4,4
0,1,1,1340,0.925,0.419,0.854,0.118,270,2,5
1,0,0,671,0.319,0.373,0.492,0.113,180,1,6
0,0,1,1134,0.578,0.236,0.158,0.572,228,3,7
1,1,0,1340,0.642,0.342,0.458,0.167,222,5,8
0,0,0,1162,0.492,0.456,0.607,0.463,204,4,9
0,0,1,1200,0.726,0.438,0.401,0.146,202,2,10
1,1,0,1090,0.57,0.373,0.316,0.221,202,1,11
1,1,1,639,0.823,0.124,0.118,0.198,266,3,12
0,0,0,1105,0.594,0.336,0.477,0.105,217,5,13
1,1,0,745,0.636,0.69,0.427,0.672,192,4,14
1,1,0,897,0.267,0.651,0.405,0.404,184,2,1
1,1,0,779,0.299,0.371,0.54,0.397,210,4,2
1,0,1,591,0.592,0.118,0.298,0.121,218,3,3
0,0,1,835,0.931,0.148,0.425,0.393,181,5,8
0,1,0,1121,0.723,0.3,0.164,0.604,224,4,9
1,1,0,651,0.542,0.302,0.102,0.331,178,1,10
1,1,1,1142,0.337,0.4,0.655,0.652,258,2,11
1,1,0,1466,0.996,0.661,0.713,0.298,262,2,1
1,0,0,950,0.804,0.335,0.69,0.416,258,3,2
1,0,0,1498,0.817,0.225,0.242,0.311,208,5,3
1,1,0,1300,0.85,0.208,0.204,0.261,215,1,4
0,0,0,818,0.25,0.381,0.381,0.56,191,4,5
0,0,0,1149,0.64,0.464,0.565,0.337,258,2,6
0,0,0,1135,0.75,0.137,0.876,0.601,269,3,7
1,1,0,1222,0.295,0.188,0.321,0.345,217,5,8
1,0,0,1325,0.251,0.164,0.16,0.183,187,1,9
0,1,0,931,0.412,0.144,0.233,0.144,203,1,1
0,0,1,847,0.962,0.32,0.721,0.409,256,3,2
0,1,0,608,0.423,0.29,0.422,0.197,216,1,5
1,1,0,1420,0.718,0.274,0.864,0.444,185,3,6
0,0,0,1128,0.556,0.397,0.273,0.298,218,5,7
0,1,0,1010,0.705,0.232,0.388,0.22,217,4,8
1,1,0,1107,0.233,0.47,0.162,0.173,176,2,9
0,0,0,693,0.77,0.27,0.472,0.172,207,1,10
1,1,0,1475,0.614,0.401,0.88,0.392,229,3,11
1,1,0,706,0.475,0.217,0.349,0.265,201,5,12
1,0,0,935,0.589,0.16,0.875,0.303,238,2,1
1,0,0,980,0.686,0.118,0.867,0.46,254,3,2
0,0,0,849,0.476,0.19,0.392,0.354,183,5,3
0,0,0,1138,0.364,0.537,0.249,0.26,210,4,4
1,0,0,1325,0.582,0.307,0.461,0.303,190,1,5
1,1,0,839,0.885,0.256,0.821,0.382,243,2,6
0,1,0,739,0.592,0.174,0.853,0.559,237,3,7
1,0,0,1113,0.539,0.242,0.194,0.476,210,4,5
1,1,1,1107,0.631,0.596,0.404,0.103,248,2,6
1,1,0,883,0.21,0.175,0.45,0.139,180,1,7
1,0,0,632,0.421,0.17,0.897,0.506,229,3,1
1,0,0,1137,0.628,0.551,0.278,0.129,189,4,2
0,1,0,722,0.938,0.266,0.41,0.29,215,2,3
